SVſpend les hauts deſſeins que i'inſpire la gloire,	SUspend les hauts desseins que j’inspire la gloire,
Croy moins à l'auenir ton cœur ambitieux;	Crois moins à l’avenir ton cœur ambitieux;
Et de peur de laſſer la puiſſance des Cieux,	Et de peur de lasser la puissance des Cieux,
Laſſe-toy d'entaſſer Victoire ſur Victoire.	Lasse-toi d’entasser Victoire sur Victoire.
Deſia tu fais douter de la foy de l'Hiſtoire,	Déjà tu fais douter de la foi de l’Histoire,
Tu fais que tous les iours nous démentons nos yeux;	Tu fais que tous les jours nous démentons nos yeux;
Ton pere en eſt ialoux: Et tu n'as point d'Ayeux	Ton père en est jaloux: Et tu n’as point d’Aïeux
De qui ton Nom fameux n'efface la memoire.	De qui ton Nom fameux n’efface la mémoire.
Donne donc quelque borne à tes actes guerriers,	Donne donc quelque borne à tes actes guerriers,
Adiouſte vn peu de Myrthe à beaucoup de Lauriers,	Ajoute un peu de Myrte à beaucoup de Lauriers,
Et gouſte les plaiſirs où l'âge te conuie.	Et goûte les plaisirs où l’âge te convie.
Mais, ô! laſches conſeils, ô! diſcours inſolans;	Mais, ô! lâches conseils, ô! discours insolents;
Es-tu pas ce grand Roy, qui doit faire en ſa vie	Es-tu pas ce grand Roi, qui doit faire en sa vie
Ce que ſoixante Rois n'ont pû faire en mil ans?	Ce que soixante Rois n’ont pu faire en mille ans?
